timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.651534097,428,8,05,00,00,80,65,08,02,00
1.652428307,260,8,16,18,00,30,00,65,00,00
1.653603053,440,8,ff,f0,00,00,ff,c0,0b,00
1.654596049,545,8,dc,12,00,89,8f,00,90,00
1.655760103,153,8,00,80,10,ff,00,ff,00,00
1.656783035,18F,8,fe,3b,18,00,00,51,00,00
1.657786722,545,8,dc,12,00,89,8f,00,8f,00
1.658781856,220,8,f9,03,e9,03,9f,01,c7,0f
1.659780411,4F0,8,80,00,00,00,00,c5,bc,14
1.660767848,316,8,45,18,b4,0c,18,10,00,00
1.661765548,1F1,8,00,00,00,00,00,00,00,00
1.662752129,545,8,e4,12,00,88,8e,00,8f,00
1.66374983,153,8,00,80,10,ff,00,ff,00,00
1.664739404,350,8,14,13,43,83,88,00,00,4f
1.6657525,545,8,e4,12,00,89,8e,00,92,00
1.666740792,220,8,f9,03,f5,03,9f,01,cd,0f
1.667744906,428,8,05,00,00,80,65,08,02,00
1.668755864,370,8,ff,20,00,00,ff,00,00,6c
1.669685568,1F1,8,00,00,00,00,00,00,00,00
1.670808141,316,8,45,19,9c,0c,19,10,00,00
1.67197861,350,8,14,13,63,83,88,00,00,6f
1.673004963,370,8,ff,20,00,00,ff,00,00,20
1.674005229,545,8,dc,12,00,88,91,00,96,00
1.675106847,220,8,ff,03,e5,03,9f,01,da,0f
1.676087441,0A1,8,80,80,80,80,64,07,0c,00
1.67713988,545,8,e4,12,00,89,95,00,97,00
1.678135442,4D0,8,00,ff,fa,00,00,00,00,00
1.67913357,1F1,8,00,00,00,00,00,00,00,00
1.680130415,260,8,17,19,00,30,00,65,00,00
1.681131536,545,8,e4,12,00,89,95,00,97,00
